model,npar,AIC,DeltaAIC,weight,neg2lnl,convergence
Phi(~time)p(~site),51,4462.688816,0,0.480295725,4360.688816,0
Phi(~time)p(~time + site),60,4462.801428,0.11261233,0.453999384,4342.801428,0
Phi(~1)p(~time + site),51,4467.214426,4.525609645,0.049978713,4365.214426,0
Phi(~time + site)p(~site),91,4470.75777,8.068954274,0.008498799,4288.75777,0
Phi(~time + site)p(~time + site),100,4471.20135,8.512534371,0.006808248,4271.20135,0
Phi(~1)p(~site),42,4477.736895,15.04807883,0.000259334,4393.736895,0
Phi(~site)p(~time + site),91,4478.916502,16.22768633,0.000143784,4296.916502,0
Phi(~site)p(~time),51,4485.037571,22.34875498,6.74E-06,4383.037571,0
Phi(~time + site)p(~1),51,4485.996964,23.30814764,4.17E-06,4383.996964,0
Phi(~site)p(~site),82,4486.981226,24.29241029,2.55E-06,4322.981226,0
Phi(~time + site)p(~time),60,4487.179169,24.49035316,2.31E-06,4367.179169,0
Phi(~1)p(~time),11,4493.030628,30.34181246,1.24E-07,4471.030628,0
Phi(~time)p(~1),11,4494.064238,31.37542189,7.39E-08,4472.064238,0
Phi(~time)p(~time),20,4495.242074,32.55325792,4.10E-08,4455.242074,0
Phi(~site)p(~1),42,4499.358722,36.66990648,5.23E-09,4415.358722,0
Phi(~1)p(~1),2,4506.382592,43.69377591,1.56E-10,4502.382592,0
